Date,Start,End,Type,Note,Adress
2025-03-01,11:24,20:00,Work,," Wasserburger Str. 15a, 83119 Obing "
2025-03-01,13:11,13:17,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-01,15:29,15:56,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-01,17:06,17:26,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-01,18:46,18:52,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-03,05:53,14:28,Work,," Wasserburger Str. 15a, 83119 Obing "
2025-03-03,06:57,07:01,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-03,10:27,10:54,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-03,13:16,13:21,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-04,05:54,14:28,Work,," Wasserburger Str. 15a, 83119 Obing "
2025-03-04,06:54,06:59,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-04,09:02,09:31,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-04,11:02,11:06,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-04,13:11,13:16,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-06,05:55,14:06,Work,," Wasserburger Str. 15a, 83119 Obing "
2025-03-06,07:02,07:06,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-06,10:31,10:59,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-06,13:16,13:21,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-07,05:56,16:02,Work,," Wasserburger Str. 15a, 83119 Obing "
2025-03-07,06:55,06:59,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-07,08:58,09:09,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-07,11:55,12:23 ,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-07,14:26,14:40,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-08,05:56,16:00,Work,," Wasserburger Str. 15a, 83119 Obing "
2025-03-08,07:04,07:10,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-08,09:10,09:25,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-08,12:03,12:32,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-08,14:40,14:54,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-10,11:22,20:00,Work,," Wasserburger Str. 15a, 83119 Obing "
2025-03-10,14:12,14:16,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-10,16:15,16:45,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-10,18:35,18:40,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-11,11:23,19:57,Work,," Wasserburger Str. 15a, 83119 Obing "
2025-03-11,13:17,13:22,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-11,15:15,15:19,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-11,16:00,16:26,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-11,17:50,17:54,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-11,18:52,19:00,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-13,11:22,19:57,Work,," Wasserburger Str. 15a, 83119 Obing "
2025-03-13,13:23,13:27 ,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-13,15:05,15:09,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-13,16:09 ,16:34,Break,," Wasserburger Str. 15a, 83119 Obing "
2025-03-13,18:51,18:51,Break,," Wasserburger Str. 15a, 83119 Obing "
